"SPEAKER","SENTENCE","DATAID","DOMAINID","DOMAIN","CATEGORY","SPEAKERID","SENTENCEID","MAIN","SUB","QA","QACNCT","MQ","SQ","UA","SA","개체명","용어사전","지식베이스",""
"고객","가죽은 얼마예요?","박은영_액세서리_5","B","의복의류점","신발","1","14","제품가격문의","","Q","","가죽은 얼마예요?","","","","가죽, 얼마","","가죽/소재",""
"점원","2만 9천 원입니다","박은영_액세서리_5","B","의복의류점","신발","0","15","제품가격문의","","A","","","","","2만 9천 원입니다","2만 9천 원","","2만 9천 원/금액",""
"고객","털 달린 거 저거는 사이즈 있어요?","박은영_액세서리_5","B","의복의류점","신발","1","16","사이즈재고문의","","Q","","털 달린 거 저거는 사이즈 있어요?","","","","털, 저거, 사이즈","","털/소재",""
"점원","230이 없어요 ","박은영_액세서리_5","B","의복의류점","신발","0","17","사이즈재고문의","","A","","","","","230이 없어요 ","230","","230/사이즈",""
"점원","이거 한 번 신어보세요","박은영_액세서리_5","B","의복의류점","신발","0","18","사이즈문의","제품착용","Q","","","이거 한 번 신어보세요","","","이거, 한 번","","한 번/횟수",""
"고객","좀 크네","박은영_액세서리_5","B","의복의류점","신발","1","19","사이즈문의","제품착용","A","","","","좀 크네","","","","",""
"고객","또 안 들어와요?","박은영_액세서리_5","B","의복의류점","신발","1","20","재입고문의","","Q","","또 안 들어와요?","","","","","","",""
"점원","네 이건 다 끝났어요","박은영_액세서리_5","B","의복의류점","신발","0","21","재입고문의","","A","","","","","네 이건 다 끝났어요","","","",""
"고객","가방 매는 거 보고 있어요","박은영_액세서리_11","B","의복의류점","가방","1","1","종류별가방제품문의요청","","Q","","가방 매는 거 보고 있어요","","","","가방","","가방/제품",""
"점원","여기 있어요","박은영_액세서리_11","B","의복의류점","가방","0","2","종류별가방제품문의요청","","A","","","","","여기 있어요","여기","","",""
"고객","가격이 얼마예요?","박은영_액세서리_11","B","의복의류점","가방","1","3","제품가격문의","","Q","","가격이 얼마예요?","","","","가격, 얼마","","",""
"점원","이 종류는 2만 원이고 이 종류는 3만 8천 원이에요","박은영_액세서리_11","B","의복의류점","가방","0","4","제품가격문의","","A","","","","","이 종류는 2만 원이고 이 종류는 3만 8천 원이에요","종류, 2만 원, 3만 8천 원","","2만 원금액, 3만 8천 원/금액",""
"고객","가죽으로 된 거는 없어요?","박은영_액세서리_11","B","의복의류점","가방","1","5","소재를제시한제품문의","","Q","","가죽으로 된 거는 없어요?","","","","가죽","","가죽/재질",""
"점원","가죽은 없고 레자만 있어요","박은영_액세서리_11","B","의복의류점","가방","0","6","소재를제시한제품문의","","A","","","","","가죽은 없고 레자만 있어요","가죽, 레자","","가죽/재질, 레자/재질",""
"고객","레자는 얼마예요?","박은영_액세서리_11","B","의복의류점","가방","1","7","제품가격문의","","Q","","레자는 얼마예요?","","","","레자, 얼마","","레자/재질",""
"점원","5만 5천 원요","박은영_액세서리_11","B","의복의류점","가방","0","8","제품가격문의","","A","","","","","5만 5천 원요","5만 5천 원","","5만 5천 원/금액",""
"고객","이거는 천이죠?","박은영_액세서리_11","B","의복의류점","가방","1","9","가방소재문의","","Q","","이거는 천이죠?","","","","이거, 천","","천/재질",""
"점원","네 맞아요","박은영_액세서리_11","B","의복의류점","가방","0","10","가방소재문의","","A","","","","","네 맞아요","","","",""
"고객","이건 얼마예요?","박은영_액세서리_11","B","의복의류점","가방","1","11","제품가격문의","","Q","","이건 얼마예요?","","","","얼마","","",""
"점원","그것도 5만 5천 원요","박은영_액세서리_11","B","의복의류점","가방","0","12","제품가격문의","","A","","","","","그것도 5만 5천 원요","5만 5천 원","","5만 5천 원/금액",""
"고객","이거 끈은 따로 없어요?","박은영_액세서리_11","B","의복의류점","가방","1","13","제품구성문의","","Q","","이거 끈은 따로 없어요?","","","","이거, 끈","","끈/부품",""
"점원","안에 있어요","박은영_액세서리_11","B","의복의류점","가방","0","14","제품구성문의","","A","","","","","안에 있어요","안","","안/위치",""
"고객","내일은 문 열어요?","박은영_액세서리_11","B","의복의류점","가방","1","15","공휴일영업문의","","Q","","내일은 문 열어요?","","","","내일, 문","","내일/날짜",""
"점원","휴무입니다","박은영_액세서리_11","B","의복의류점","가방","0","16","공휴일영업문의","","A","","","","","휴무입니다","휴무","","",""
"고객","며칠까지 휴무예요?","박은영_액세서리_11","B","의복의류점","가방","1","17","공휴일영업문의","","Q","","며칠까지 휴무예요?","","","","며칠, 휴무","","",""
"점원","설까지 쉬고 다음날 열 거 같아요","박은영_액세서리_11","B","의복의류점","가방","0","18","공휴일영업문의","","A","","","","","설까지 쉬고 다음날 열 거 같아요","설 다음날","","설 다음날/날짜",""
"고객","여기 마스크는 얼마예요?","박은영_액세서리_11","B","의복의류점","가방","1","19","제품가격문의","","Q","","여기 마스크는 얼마예요?","","","","여기, 마스크, 얼마","","마스크/제품",""
"점원","5천 원요","박은영_액세서리_11","B","의복의류점","가방","0","20","제품가격문의","","A","","","","","5천 원요","5천 원","","5천 원/금액",""
"고객","이거 나무예요? 다 돌인가요?","김옥연_액세서리_4","B","의복의류점","액세서리","1","1","제품소재문의","","Q","","이거 나무예요? 다 돌인가요?","","","","이거, 나무, 돌","","나무/소재, 돌/소재",""
"점원","나무도 있고 도자기도 있어요","김옥연_액세서리_4","B","의복의류점","액세서리","0","2","제품소재문의","","A","","","","","나무도 있고 도자기도 있어요","나무, 도자기","","나무/소재, 도자기/소재",""
"고객","이런 건 세트로 팔아요?","김옥연_액세서리_4","B","의복의류점","액세서리","1","3","세트제품개별구매문의","","Q","","이런 건 세트로 팔아요?","","","","세트","","세트/제품",""
"점원","네 세트로만 팔아요","김옥연_액세서리_4","B","의복의류점","액세서리","0","4","세트제품개별구매문의","","A","","","","","네 세트로만 팔아요","세트","","세트/제품",""
"고객","이건 뭐예요?","김옥연_액세서리_4","B","의복의류점","액세서리","1","5","제품소재문의","","Q","","이건 뭐예요?","","","","","","",""
"점원","마블이라고 종이를 말아가지고 하는 거예요","김옥연_액세서리_4","B","의복의류점","액세서리","0","6","제품소재문의","","A","","","","","마블이라고 종이를 말아가지고 하는 거예요","마블, 종이","","마블/소재, 종이/소제",""
"고객","제일 큰 거는 얼마인데요?","김옥연_액세서리_4","B","의복의류점","액세서리","1","7","제품가격문의","","Q","","제일 큰 거는 얼마인데요?","","","","얼마","","",""
"점원","세트에 7만 원이요","김옥연_액세서리_4","B","의복의류점","액세서리","0","8","제품가격문의","","A","","","","","세트에 7만 원이요","세트, 7만 원","","세트/제품, 7만 원/금액",""
"고객","스카프 좀 보려구요","김옥연_액세서리_4","B","의복의류점","액세서리","1","9","종류별액세서리제품문의요청","","Q","","스카프 좀 보려구요","","","","스카프","","스카프/제품",""
"점원","네 천천히 보세요","김옥연_액세서리_4","B","의복의류점","액세서리","0","10","종류별액세서리제품문의요청","","A","","","","","네 천천히 보세요","","","",""
"고객","실크스카프도 봄에 하나요?","김옥연_액세서리_4","B","의복의류점","액세서리","1","11","계절상품문의","","Q","","실크스카프도 봄에 하나요?","","","","실크스카프, 봄","","실크스카프/제품, 봄/계절",""
"점원","실크 봄 가을에 하죠","김옥연_액세서리_4","B","의복의류점","액세서리","0","12","계절상품문의","","A","","","","","실크 봄 가을에 하죠","실크, 봄, 가을","","실크/소재, 봄/계절, 가을/계절",""
"고객","이거는 뭐예요?","김옥연_액세서리_4","B","의복의류점","액세서리","1","13","제품문의","","Q","","이거는 뭐예요?","","","","이거","","",""
"점원","토시예요","김옥연_액세서리_4","B","의복의류점","액세서리","0","14","제품문의","","A","","","","","토시예요","토시","","토시/제품",""
"고객","여기 가격은 그대로 파시는 거예요?","김옥연_액세서리_4","B","의복의류점","액세서리","1","15","제품가격문의","","Q","","여기 가격은 그대로 파시는 거예요?","","","","여기, 가격","","",""
"점원","네 핸드메이드로 해가지고 그 가격으로 팔아요","김옥연_액세서리_4","B","의복의류점","액세서리","0","16","제품가격문의","","A","","","","","네 핸드메이드로 해가지고 그 가격으로 팔아요","핸드메이드, 가격","","",""
"고객","착용해볼 수 있어요?","김옥연_액세서리_4","B","의복의류점","액세서리","1","17","매장에서착용문의","","Q","","착용해볼 수 있어요?","","","","착용","","",""
"점원","네 가능하세요","김옥연_액세서리_4","B","의복의류점","액세서리","0","18","매장에서착용문의","","A","","","","","네 가능하세요","가능","","",""
"고객","이거는 요즘 들어온 거예요?","김옥연_액세서리_4","B","의복의류점","액세서리","1","19","신상품문의","","Q","","이거는 요즘 들어온 거예요?","","","","이거, 요즘","","",""
"점원","네 어제 들어왔어요","김옥연_액세서리_4","B","의복의류점","액세서리","0","20","신상품문의","","A","","","","","네 어제 들어왔어요","어제","","어제/날짜",""
"고객","세탁은 물세탁되죠?","김옥연_액세서리_4","B","의복의류점","액세서리","1","21","제품의세척방법문의","","Q","","세탁은 물세탁되죠?","","","","세탁, 물세탁","","물세탁/세탁방법",""
"점원","끝부분이 가죽이라서 조심해야해요","김옥연_액세서리_4","B","의복의류점","액세서리","0","22","제품의세척방법문의","","A","","","","","끝부분이 가죽이라서 조심해야해요","끝부분, 가죽, 조심","","끝부분/위치, 가죽/소재",""
"고객","지금 여기 있는 게 다예요?","김옥연_액세서리_4","B","의복의류점","액세서리","1","23","제품문의","","Q","","지금 여기 있는 게 다예요?","","","","지금, 여기","","",""
"점원","네 다예요","김옥연_액세서리_4","B","의복의류점","액세서리","0","24","제품문의","","A","","","","","네 다예요","","","",""
"고객","몇 시에 문 닫아요?","김옥연_액세서리_4","B","의복의류점","액세서리","1","25","마감시간문의","","Q","","몇 시에 문 닫아요?","","","","몇 시, 문","","",""
"점원","8시까지 합니다","김옥연_액세서리_4","B","의복의류점","액세서리","0","26","마감시간문의","","A","","","","","8시까지 합니다","8시","","8시/마감시간",""
"고객","일요일도 하세요?","김옥연_액세서리_4","B","의복의류점","액세서리","1","27","공휴일영업문의","","Q","","일요일도 하세요?","","","","일요일","","일요일/요일",""
"점원","아뇨 닫아요","김옥연_액세서리_4","B","의복의류점","액세서리","0","28","공휴일영업문의","","A","","","","","아뇨 닫아요","","","",""
"고객","스카프 있어요?","김옥연_액세서리_5","B","의복의류점","액세서리","1","1","종류별액세서리제품문의요청","","Q","","스카프 있어요?","","","","스카프","","스카프/제품",""
"점원","네 여기는 2단 이거는 3단 제품있어요","김옥연_액세서리_5","B","의복의류점","액세서리","0","2","종류별액세서리제품문의요청","","A","","","","","네 여기는 2단 이거는 3단 제품있어요","여기, 2단, 이거, 3단, 제품","","2단/스타일, 3단/스타일",""
"고객","이런 건 세탁을 어떻게 해요?","김옥연_액세서리_5","B","의복의류점","액세서리","1","3","제품의세척방법문의","","Q","","이런 건 세탁을 어떻게 해요?","","","","세탁","","",""
"점원","울샴푸를 물에 몇 방울 떨어뜨려서 조물조물하면 됩니다","김옥연_액세서리_5","B","의복의류점","액세서리","0","4","제품의세척방법문의","","A","","","","","울샴푸를 물에 몇 방울 떨어뜨려서 조물조물하면 됩니다","울샴푸, 물, 방울","","울샴푸/세정제",""
"고객","원단은 뭐예요?","김옥연_액세서리_5","B","의복의류점","액세서리","1","5","원단문의","","Q","","원단은 뭐예요?","","","","원단","","원단/소재",""
"점원","원단이 구김 안 가고 참 괜찮아요","김옥연_액세서리_5","B","의복의류점","액세서리","0","6","원단문의","","A","","","","","원단이 구김 안 가고 참 괜찮아요","구김","","",""
"고객","얼마인데요?","김옥연_액세서리_5","B","의복의류점","액세서리","1","7","제품가격문의","","Q","","얼마인데요?","","","","얼마","","",""
"점원","2만 원입니다","김옥연_액세서리_5","B","의복의류점","액세서리","0","8","제품가격문의","","A","","","","","2만 원입니다","2만 원","","2만 원/금액",""
"고객","브로치 같은 건 어디 있나요?","김옥연_액세서리_5","B","의복의류점","액세서리","1","9","종류별액세서리제품문의요청","","Q","","브로치 같은 건 어디 있나요?","","","","브로치, 어디","","브로치/제품",""
"점원","여기 있는 거밖에 없어요","김옥연_액세서리_5","B","의복의류점","액세서리","0","10","종류별액세서리제품문의요청","","A","","","","","여기 있는 거밖에 없어요","여기","","",""
"고객","이런 거도 2만 원이예요?","김옥연_액세서리_5","B","의복의류점","액세서리","1","11","제품가격문의","","Q","","이런 거도 2만 원이예요?","","","","2만 원","","2만 원/금액",""
"점원","헤르메스인데 이것도 괜찮아요","김옥연_액세서리_5","B","의복의류점","액세서리","0","12","제품가격문의","","A","","","","","헤르메스인데 이것도 괜찮아요","헤르메스, 이것","","헤르메스/브랜드",""
"고객","명품이랑 똑같이 한 거예요?","김옥연_액세서리_5","B","의복의류점","액세서리","1","13","디자인문의","","Q","","명품이랑 똑같이 한 거예요?","","","","명품","","",""
"점원","네 원단만 다르고 디자인을 똑같이 만든 거예요","김옥연_액세서리_5","B","의복의류점","액세서리","0","14","디자인문의","","A","","","","","네 원단만 다르고 디자인을 똑같이 만든 거예요","원단, 디자인","","원단/소재",""
"고객","온누리 상품권도 되죠?","김옥연_액세서리_5","B","의복의류점","액세서리","1","15","상품권사용문의","","Q","","온누리 상품권도 되죠?","","","","온누리 상품권","","온누리 상품권/상품권/결제방식",""
"점원","네 됩니다","김옥연_액세서리_5","B","의복의류점","액세서리","0","16","상품권사용문의","","A","","","","","네 됩니다","","","",""
"고객","브로치하고 머리핀하고 보려고요","김옥연_액세서리_6","B","의복의류점","액세서리","1","1","종류별액세서리제품문의요청","","Q","","브로치하고 머리핀하고 보려고요","","","","브로치, 머리핀","","브로치/제품, 머리핀/제품",""
"점원","머리핀은 밖에 있고 브로치는 안에 있습니다","김옥연_액세서리_6","B","의복의류점","액세서리","0","2","종류별액세서리제품문의요청","","A","","","","","머리핀은 밖에 있고 브로치는 안에 있습니다","머리핀, 밖, 브로치, 안","","머리핀/제품, 밖/위치, 브로치/제품, 안/위치",""
"고객","도자기 같은 거 말고 구슬이나 진주 같은 거는 없어요?","김옥연_액세서리_6","B","의복의류점","액세서리","1","3","소재를제시한제품문의","","Q","","도자기 같은 거 말고 구슬이나 진주 같은 거는 없어요?","","","","도자기, 구슬, 진주","","도자기/소재, 구슬/장식, 진주/장식",""
"점원","지금 옷에 가볍게 하려면 진주도 예쁘지만 이것도 깔끔합니다","김옥연_액세서리_6","B","의복의류점","액세서리","0","4","소재를제시한제품문의","","A","","","","","지금 옷에 가볍게 하려면 진주도 예쁘지만 이것도 깔끔합니다","지금, 옷, 진주","","진주/장식",""
"점원","보석은 싫으세요?","김옥연_액세서리_6","B","의복의류점","액세서리","0","5","종류별액세서리제품문의요청","종류","Q","","","보석은 싫으세요?","","","보석","","보석/소재",""
"고객","그건 흥미없고","김옥연_액세서리_6","B","의복의류점","액세서리","1","6","종류별액세서리제품문의요청","종류","A","","","","그건 흥미없고","","흥미","","",""
"고객","안에 하면 안 떨어져요?","김옥연_액세서리_6","B","의복의류점","액세서리","1","7","제품문의","","Q","","안에 하면 안 떨어져요?","","","","안","","",""
"점원","안 떨어져요","김옥연_액세서리_6","B","의복의류점","액세서리","0","8","제품문의","","A","","","","","안 떨어져요","","","",""
"고객","얼마예요?","김옥연_액세서리_6","B","의복의류점","액세서리","1","9","제품가격문의","","Q","","얼마예요?","","","","얼마","","",""
"점원","핀 꼽는 거는 좀 싼 거고 이거는 3만 원대예요","김옥연_액세서리_6","B","의복의류점","액세서리","0","10","제품가격문의","","A","","","","","핀 꼽는 거는 좀 싼 거고 이거는 3만 원대예요","핀, 이거, 3만 원","","핀/제품, 3만 원/금액",""
"고객","이 우산은 얼마인데요?","김옥연_액세서리_6","B","의복의류점","액세서리","1","11","제품가격문의","","Q","","이 우산은 얼마인데요?","","","","우산, 얼마","","우산/제품",""
"점원","4만 2천 원이요","김옥연_액세서리_6","B","의복의류점","액세서리","0","12","제품가격문의","","A","","","","","4만 2천 원이요","4만 2천 원","","4만 2천 원/금액",""
"고객","무겁지 않아요?","김옥연_액세서리_6","B","의복의류점","액세서리","1","13","제품문의","","Q","","무겁지 않아요?","","","","","","",""
"점원","좋은 재료를 쓰기 때문에 무겁지 않아요","김옥연_액세서리_6","B","의복의류점","액세서리","0","14","제품문의","","A","","","","","좋은 재료를 쓰기 때문에 무겁지 않아요","재료","","",""
"고객","이렇게 다는 거 맞아요?","김옥연_액세서리_6","B","의복의류점","액세서리","1","15","제품사용방법문의","","Q","","이렇게 다는 거 맞아요?","","","","","","",""
"점원","그렇게 달면 안되고 이렇게 달아야 해요","김옥연_액세서리_6","B","의복의류점","액세서리","0","16","제품사용방법문의","","A","","","","","그렇게 달면 안되고 이렇게 달아야 해요","","","",""
"고객","자석은 다 3만 원?","김옥연_액세서리_6","B","의복의류점","액세서리","1","17","제품가격문의","","Q","","자석은 다 3만 원?","","","","자석, 3만 원","","자석/스타일, 3만 원/금액",""
"점원","3만 원 짜리도 있고 2만 원 짜리도 있어요","김옥연_액세서리_6","B","의복의류점","액세서리","0","18","제품가격문의","","A","","","","","3만 원 짜리도 있고 2만 원 짜리도 있어요","3만 원, 2만 원","","3만 원/금액, 2만 원/금액",""
"고객","머리핀 종류도 한 번 보여주세요 곱창은 요새 안나와요?","김옥연_액세서리_6","B","의복의류점","액세서리","1","19","종류별액세서리제품문의요청","","Q","","머리핀 종류도 한 번 보여주세요 곱창은 요새 안나와요?","","","","머리핀, 종류, 한 번, 곱창","","머리핀/제품, 한 번/횟수, 곱창/스타일",""
"점원","곱창 밴드는 안나와요 촌스러워서 유행 다 지났어요","김옥연_액세서리_6","B","의복의류점","액세서리","0","20","종류별액세서리제품문의요청","","A","","","","","곱창 밴드는 안나와요 촌스러워서 유행 다 지났어요","곱창 밴드, 유행","","곱창 밴드/제품",""
"고객","브로치 종류도 있어요?","김옥연_액세서리_7","B","의복의류점","액세서리","1","1","종류별액세서리제품문의요청","","Q","","브로치 종류도 있어요?","","","","브로치, 종류","","브로치/제품",""
"점원","아뇨 없어요","김옥연_액세서리_7","B","의복의류점","액세서리","0","2","종류별액세서리제품문의요청","","A","","","","","아뇨 없어요","","","",""
"고객","스카프도 없어요?","김옥연_액세서리_7","B","의복의류점","액세서리","1","3","종류별액세서리제품문의요청","","Q","","스카프도 없어요?","","","","스카프","","스카프/제품",""
"점원","스카프는 이쪽에 종류가 있어요","김옥연_액세서리_7","B","의복의류점","액세서리","0","4","종류별액세서리제품문의요청","","A","","","","","스카프는 이쪽에 종류가 있어요","스카프, 이쪽, 종류","","스카프/제품, 이쪽/위치",""
"고객","이런 거 실크입니까?","김옥연_액세서리_7","B","의복의류점","액세서리","1","5","원단문의","","Q","","이런 거 실크입니까?","","","","실크","","실크/소재",""
"점원","실크 아니예요","김옥연_액세서리_7","B","의복의류점","액세서리","0","6","원단문의","","A","","","","","실크 아니예요","실크","","실크/소재",""
"고객","이런 거는 뭐라 그래요?","김옥연_액세서리_7","B","의복의류점","액세서리","1","7","원단문의","","Q","","이런 거는 뭐라 그래요?","","","","","","",""
"점원","실캣으로 만든 거죠","김옥연_액세서리_7","B","의복의류점","액세서리","0","8","원단문의","","A","","","","","실캣으로 만든 거죠","실캣","","실캣/소재",""
"고객","이런 거는 얼마예요?","김옥연_액세서리_7","B","의복의류점","액세서리","1","9","제품가격문의","","Q","","이런 거는 얼마예요?","","","","얼마","","",""
"점원","대충 2만 원 내외요","김옥연_액세서리_7","B","의복의류점","액세서리","0","10","제품가격문의","","A","","","","","대충 2만 원 내외요","2만 원, 내외","","2만 원/금액",""
"고객","이런 거는 물세탁 됩니까?","김옥연_액세서리_7","B","의복의류점","액세서리","1","11","제품의세척방법문의","","Q","","이런 거는 물세탁 됩니까?","","","","물세탁","","물세탁/세탁방법",""
"점원","물세탁 조금 해도 상관은 없으세요","김옥연_액세서리_7","B","의복의류점","액세서리","0","12","제품의세척방법문의","","A","","","","","물세탁 조금 해도 상관은 없으세요","물세탁, 조금, 상관","","물세탁/세탁방법",""
"고객","근데 이거 제가 한 거 아닌데 약간 올이 나갔네요","김옥연_액세서리_7","B","의복의류점","액세서리","1","13","제품하자발견시요구","","Q","","근데 이거 제가 한 거 아닌데 약간 올이 나갔네요","","","","이거, 올","","올/소재",""
"점원","이거 원하시면 주문 가능하세요","김옥연_액세서리_7","B","의복의류점","액세서리","0","14","제품하자발견시요구","","A","","","","","이거 원하시면 주문 가능하세요","이거, 주문, 가능","","",""
"고객","또 언제 들어와요?","김옥연_액세서리_7","B","의복의류점","액세서리","1","15","재고없을시입고문의","","Q","","또 언제 들어와요?","","","","언제","","",""
"점원","스카프는 많이 들어오지 않아서 주문하시는 게 좋아요","김옥연_액세서리_7","B","의복의류점","액세서리","0","16","재고없을시입고문의","","A","","","","","스카프는 많이 들어오지 않아서 주문하시는 게 좋아요","스카프, 주문","","스카프/제품",""
"고객","이거는 목걸이 링이에요?","김옥연_액세서리_7","B","의복의류점","액세서리","1","17","제품문의","","Q","","이거는 목걸이 링이에요?","","","","이거, 목걸이, 링","","목걸이/제품, 링/스타일",""
"점원","아뇨 반지예요","김옥연_액세서리_7","B","의복의류점","액세서리","0","18","제품문의","","A","","","","","아뇨 반지예요","반지","","반지/제품",""
"고객","금이에요?","김옥연_액세서리_7","B","의복의류점","액세서리","1","19","제품소재문의","","Q","","금이에요?","","","","금","","금/소재",""
"점원","액세서리예요 금 아니예요","김옥연_액세서리_7","B","의복의류점","액세서리","0","20","제품소재문의","","A","","","","","액세서리예요 금 아니예요","액세서리, 금","","액세서리/제품, 금/소재",""
"고객","이거 한 번 해봐도 돼요?","김옥연_액세서리_7","B","의복의류점","액세서리","1","21","매장에서착용문의","","Q","","이거 한 번 해봐도 돼요?","","","","이거, 한 번","","한 번/횟수",""
"점원","네 가능합니다","김옥연_액세서리_7","B","의복의류점","액세서리","0","22","매장에서착용문의","","A","","","","","네 가능합니다","가능","","",""
"고객","신상품 더 들어오죠?","김옥연_액세서리_7","B","의복의류점","액세서리","1","23","신상품문의","","Q","","신상품 더 들어오죠?","","","","신상품","","신상품/제품",""
"점원","네 들어올 거예요","김옥연_액세서리_7","B","의복의류점","액세서리","0","24","신상품문의","","A","","","","","네 들어올 거예요","","","",""
"고객","이 모양으로 목걸이 팔찌 세트 구입할까 하는데","박은영_액세서리_3","B","의복의류점","액세서리","1","1","주문제작문의","","Q","","이 모양으로 목걸이 팔찌 세트 구입할까 하는데","","","","모양, 목걸이, 팔찌, 세트, 구입","","목걸이/제품, 팔찌/제품, 세트/제품",""
"점원","똑같은 모양은 주문을 넣어야 할 거 같은데요","박은영_액세서리_3","B","의복의류점","액세서리","0","2","주문제작문의","","A","","","","","똑같은 모양은 주문을 넣어야 할 거 같은데요","모양, 주문","","",""
"고객","가격은 어떻게 돼요?","박은영_액세서리_3","B","의복의류점","액세서리","1","3","제품가격문의","","Q","","가격은 어떻게 돼요?","","","","가격","","",""
"점원","모양을 보고 견적을 내봐야 해요","박은영_액세서리_3","B","의복의류점","액세서리","0","4","제품가격문의","","A","","","","","모양을 보고 견적을 내봐야 해요","모양, 견적","","",""
"고객","이 금팔찌는 무게가 얼마 정도인지 확인할 수 있어요?","박은영_액세서리_3","B","의복의류점","액세서리","1","5","금함량문의","","Q","","이 금팔찌는 무게가 얼마 정도인지 확인할 수 있어요?","","","","금팔찌, 무게, 정도, 확인","","금팔찌/제품",""
"점원","세 돈이 조금 넘네요","박은영_액세서리_3","B","의복의류점","액세서리","0","6","금함량문의","","A","","","","","세 돈이 조금 넘네요","세 돈, 조금","","세 돈/중량",""
"고객","견본인 팔찌가 있어요?","박은영_액세서리_3","B","의복의류점","액세서리","1","7","견본제품문의","","Q","","견본인 팔찌가 있어요?","","","","견본, 팔찌","","팔찌/제품",""
"점원","여기 있습니다","박은영_액세서리_3","B","의복의류점","액세서리","0","8","견본제품문의","","A","","","","","여기 있습니다","여기","","",""
"고객","여기는 금 매입도 해요?","박은영_액세서리_3","B","의복의류점","액세서리","1","9","금매입문의","","Q","","여기는 금 매입도 해요?","","","","여기, 금, 매입","","금/소재",""
"점원","네 해요","박은영_액세서리_3","B","의복의류점","액세서리","0","10","금매입문의","","A","","","","","네 해요","","","",""
"고객","이거 판다고 얼마 정도 받을 수 있어요?","박은영_액세서리_3","B","의복의류점","액세서리","1","11","제품가격문의","","Q","","이거 판다고 얼마 정도 받을 수 있어요?","","","","이거, 얼마, 정도","","",""
"점원","대충 39만 3천 원 정도 나오네요","박은영_액세서리_3","B","의복의류점","액세서리","0","12","제품가격문의","","A","","","","","대충 39만 3천 원 정도 나오네요","39만 3천 원, 정도","","39만 3천 원/금액",""
"고객","팔찌 두 돈 짜리도 한 번 보여주시고 다른 거도 보여주세요","박은영_액세서리_3","B","의복의류점","액세서리","1","13","제품요청","","Q","","팔찌 두 돈 짜리도 한 번 보여주시고 다른 거도 보여주세요","","","","팔찌, 두 돈, 한 번","","팔찌/제품, 두 돈/중량, 한 번/횟수",""
"점원","유행하는 로즈골드 하셔도 되고 골드 하셔도 돼요","박은영_액세서리_3","B","의복의류점","액세서리","0","14","제품요청","","A","","","","","유행하는 로즈골드 하셔도 되고 골드 하셔도 돼요","유행, 로즈골드, 골드","","로즈골드/소재, 골드/소재",""
